age,female,hisp,education,earnings,hours,weeks,union,uncov,region,race,marital,wage,college
52,0,0,12,146000,45,52,0,0,1,1,1,62.39316239316239,Non-college
38,0,0,18,50000,45,52,0,0,1,1,1,21.367521367521366,College
38,0,0,14,32000,40,51,0,0,1,1,1,15.686274509803921,Non-college
41,1,0,13,47000,40,52,0,0,1,1,1,22.596153846153847,Non-college
42,0,0,13,161525,50,52,1,0,1,1,1,62.125,Non-college
66,1,0,13,33000,40,52,0,0,1,1,5,15.865384615384615,Non-college
51,0,0,16,37000,44,52,0,0,1,1,1,16.17132867132867,College
49,1,0,16,37000,44,52,0,0,1,1,1,16.17132867132867,College
33,0,0,16,80000,40,52,0,0,1,1,1,38.46153846153846,College
52,1,0,14,32000,40,52,0,0,1,1,1,15.384615384615385,Non-college
55,0,0,14,46000,40,52,0,0,1,1,5,22.115384615384617,Non-college
51,0,0,12,62000,40,52,0,0,1,1,5,29.807692307692307,Non-college
52,0,0,11,33000,45,52,0,0,1,1,1,14.102564102564102,Non-college
44,0,0,13,26040,40,52,0,0,1,1,1,12.51923076923077,Non-college
59,0,0,16,35000,60,52,1,0,1,1,1,11.217948717948717,College
35,1,0,14,48000,36,52,1,0,1,1,1,25.641025641025642,Non-college
31,0,0,16,26000,40,52,0,0,1,1,1,12.5,College
66,1,0,13,32000,40,52,0,0,1,1,1,15.384615384615385,Non-college
44,0,0,14,80000,40,52,0,0,1,1,1,38.46153846153846,Non-college
41,1,0,14,50000,40,52,0,0,1,1,1,24.03846153846154,Non-college
46,0,0,16,80000,45,52,0,0,1,1,1,34.18803418803419,College
45,1,0,14,90000,45,52,0,0,1,1,1,38.46153846153846,Non-college
24,0,0,13,24000,45,52,0,0,1,1,7,10.256410256410257,Non-college
59,1,0,12,30000,40,52,0,0,1,1,7,14.423076923076923,Non-college
57,0,0,12,32000,40,52,0,0,1,1,1,15.384615384615385,Non-college
33,1,0,14,71000,40,52,0,0,1,1,1,34.13461538461539,Non-college
41,1,0,14,22500,40,52,0,0,1,1,1,10.817307692307692,Non-college
44,0,0,12,21000,40,52,0,0,1,1,1,10.096153846153847,Non-college
39,0,0,20,47000,40,52,0,0,1,1,1,22.596153846153847,College
52,0,0,14,26000,40,52,0,0,1,1,1,12.5,Non-college
34,1,0,13,19240,37,52,0,0,1,1,1,10,Non-college
37,0,0,13,21840,40,52,0,0,1,1,1,10.5,Non-college
37,1,0,13,34843,45,52,0,0,1,1,1,14.89017094017094,Non-college
42,1,0,12,21000,36,52,0,0,1,1,2,11.217948717948717,Non-college
43,0,0,12,50000,40,52,0,0,1,1,1,24.03846153846154,Non-college
64,1,0,12,24176,40,52,0,0,1,7,5,11.623076923076923,Non-college
51,0,0,18,50475,45,52,0,0,1,1,1,21.57051282051282,College
49,1,0,16,44000,40,52,0,0,1,1,4,21.153846153846153,College
50,1,0,12,39643,40,52,0,0,1,1,5,19.059134615384615,Non-college
50,1,0,16,49000,40,52,0,0,1,1,1,23.557692307692307,College
41,0,0,18,56000,55,52,0,0,1,1,1,19.58041958041958,College
21,0,0,12,52000,40,52,0,0,1,1,7,25,Non-college
30,0,0,13,25000,40,52,0,0,1,1,5,12.01923076923077,Non-college
43,1,0,13,34000,40,52,0,0,1,1,5,16.346153846153847,Non-college
62,1,0,16,29300,75,52,0,0,1,1,3,7.512820512820513,College
23,0,0,11,16000,40,52,0,0,1,1,7,7.6923076923076925,Non-college
53,1,0,16,42000,55,52,0,0,1,1,1,14.685314685314685,College
25,1,0,18,30000,40,52,0,0,1,1,7,14.423076923076923,College
41,0,0,14,144000,50,52,0,0,1,1,1,55.38461538461539,Non-college
56,0,0,13,32000,55,52,0,0,1,1,1,11.188811188811188,Non-college
43,0,0,12,29000,40,52,0,0,1,1,1,13.942307692307692,Non-college
30,0,0,12,35880,70,52,0,0,1,1,1,9.857142857142858,Non-college
41,1,0,18,70500,60,52,0,0,1,1,1,22.596153846153847,College
65,0,0,9,33000,40,48,0,0,1,1,1,17.1875,Non-college
18,1,0,11,26793,50,50,0,0,1,1,7,10.7172,Non-college
30,0,0,12,30000,70,52,0,0,1,1,1,8.241758241758241,Non-college
46,0,0,12,62000,45,52,0,0,1,1,1,26.495726495726494,Non-college
31,0,0,12,37000,40,52,0,0,1,1,1,17.78846153846154,Non-college
29,1,0,12,21000,40,52,0,0,1,1,1,10.096153846153847,Non-college
47,0,0,12,30000,40,52,0,0,1,1,5,14.423076923076923,Non-college
36,0,0,14,24000,40,52,0,0,1,1,1,11.538461538461538,Non-college
41,0,0,12,61340,45,52,0,1,1,1,1,26.213675213675213,Non-college
52,0,0,16,41701,40,52,1,0,1,1,1,20.048557692307693,College
51,1,0,18,181252,44,52,1,0,1,1,1,79.21853146853147,College
45,0,0,12,38000,40,52,0,0,1,1,1,18.26923076923077,Non-college
45,1,0,12,32000,45,52,0,0,1,1,1,13.675213675213675,Non-college
47,0,0,12,40000,40,52,0,0,1,1,5,19.23076923076923,Non-college
38,1,0,16,54435,40,52,0,0,1,1,1,26.170673076923077,College
51,1,0,13,35000,40,52,0,0,1,1,5,16.826923076923077,Non-college
54,1,0,14,60000,50,52,0,0,1,1,5,23.076923076923077,Non-college
55,0,0,12,22000,40,52,0,0,1,7,7,10.576923076923077,Non-college
59,0,0,12,40000,40,52,0,0,1,1,1,19.23076923076923,Non-college
44,1,0,9,26000,40,52,0,0,1,1,1,12.5,Non-college
59,0,0,13,25000,40,52,0,0,1,1,1,12.01923076923077,Non-college
26,0,0,16,37000,40,52,0,0,1,1,1,17.78846153846154,College
38,1,0,16,75000,45,52,0,0,1,1,1,32.05128205128205,College
45,0,0,12,58000,40,52,0,0,1,1,1,27.884615384615383,Non-college
28,0,0,16,79000,50,52,0,0,1,1,1,30.384615384615383,College
52,0,0,16,85000,40,52,0,0,1,1,7,40.86538461538461,College
28,1,0,18,34000,45,52,0,0,1,1,1,14.52991452991453,College
42,0,0,14,64315,65,52,0,0,1,1,1,19.02810650887574,Non-college
63,0,0,13,85000,60,52,0,0,1,1,1,27.243589743589745,Non-college
45,0,0,16,71000,45,52,0,0,1,1,1,30.34188034188034,College
27,1,0,13,31000,40,52,0,0,1,1,1,14.903846153846153,Non-college
33,0,0,11,49000,40,52,0,0,1,1,1,23.557692307692307,Non-college
22,0,0,9,28000,45,52,0,0,1,7,1,11.965811965811966,Non-college
39,0,0,18,60000,45,52,0,0,1,1,1,25.641025641025642,College
41,1,0,16,40000,40,52,0,0,1,1,1,19.23076923076923,College
33,0,0,13,22441,40,50,0,0,1,1,7,11.2205,Non-college
37,1,0,12,22000,36,52,0,0,1,1,1,11.752136752136753,Non-college
37,0,0,12,38000,40,52,0,0,1,1,1,18.26923076923077,Non-college
57,1,0,14,60000,40,52,0,0,1,1,5,28.846153846153847,Non-college
54,0,0,12,39000,40,52,0,0,1,1,1,18.75,Non-college
63,0,0,12,50000,40,52,0,0,1,1,5,24.03846153846154,Non-college
30,0,0,14,50000,40,52,0,0,1,1,1,24.03846153846154,Non-college
47,0,0,16,118000,50,52,0,0,1,1,1,45.38461538461539,College
51,1,0,13,80474,50,52,0,0,1,1,7,30.951538461538462,Non-college
27,0,0,14,45000,55,52,0,0,1,1,7,15.734265734265735,Non-college
35,0,0,14,41900,43,52,0,0,1,1,5,18.73881932021467,Non-college
59,0,0,12,27239,40,52,0,0,1,1,1,13.095673076923077,Non-college
43,0,0,12,35000,40,48,0,0,1,1,1,18.229166666666668,Non-college
50,1,0,16,55000,45,52,0,0,1,1,1,23.504273504273506,College
51,1,0,18,16000,40,50,0,0,1,1,5,8,College
30,0,0,16,80000,65,52,0,0,1,1,1,23.668639053254438,College
55,0,0,13,34000,45,52,0,0,1,2,5,14.52991452991453,Non-college
53,0,1,9,50000,70,52,0,0,1,1,1,13.736263736263735,Non-college
38,1,0,12,32000,40,52,0,0,1,1,5,15.384615384615385,Non-college
50,0,0,12,31000,36,52,0,0,1,1,1,16.55982905982906,Non-college
49,1,0,12,56000,50,52,0,0,1,1,1,21.53846153846154,Non-college
25,1,0,16,25000,40,52,1,0,1,1,2,12.01923076923077,College
26,0,0,12,33000,40,52,0,0,1,1,1,15.865384615384615,Non-college
56,0,0,16,57000,60,52,0,0,1,1,7,18.26923076923077,College
51,0,0,12,62000,48,52,0,0,1,1,1,24.83974358974359,Non-college
61,1,0,12,23000,40,52,0,0,1,1,5,11.057692307692308,Non-college
31,0,0,12,27001,55,52,0,0,1,1,1,9.440909090909091,Non-college
69,0,0,12,35000,40,52,0,0,1,1,1,16.826923076923077,Non-college
63,1,0,12,23000,40,52,0,0,1,1,1,11.057692307692308,Non-college
32,0,0,12,42000,40,52,0,0,1,1,1,20.192307692307693,Non-college
32,1,0,13,30000,40,52,0,0,1,1,1,14.423076923076923,Non-college
31,1,0,12,28000,40,52,0,0,1,1,1,13.461538461538462,Non-college
54,1,0,18,80000,40,52,0,0,1,1,1,38.46153846153846,College
63,0,0,18,24000,40,52,0,0,1,1,1,11.538461538461538,College
27,1,0,16,36600,54,52,0,0,1,1,7,13.034188034188034,College
61,0,0,16,40000,55,52,0,0,1,1,1,13.986013986013987,College
47,0,0,12,40000,45,52,0,0,1,1,1,17.094017094017094,Non-college
59,0,0,12,50000,50,52,0,0,1,1,5,19.23076923076923,Non-college
58,0,0,12,67000,40,52,0,0,1,1,5,32.21153846153846,Non-college
46,1,0,12,20000,40,52,0,0,1,1,5,9.615384615384615,Non-college
35,1,0,12,22000,40,52,0,0,1,1,1,10.576923076923077,Non-college
32,0,0,14,50000,50,52,0,0,1,1,1,19.23076923076923,Non-college
46,0,0,14,30000,40,52,0,0,1,1,1,14.423076923076923,Non-college
43,1,0,13,22000,40,52,0,0,1,1,1,10.576923076923077,Non-college
43,1,0,16,32000,50,52,0,0,1,1,1,12.307692307692308,College
36,0,0,12,36200,44,52,0,0,1,1,1,15.821678321678322,Non-college
31,1,0,16,48000,36,52,0,0,1,1,1,25.641025641025642,College
47,1,0,12,33200,40,52,0,0,1,1,1,15.961538461538462,Non-college
48,0,0,13,35000,40,52,0,0,1,1,6,16.826923076923077,Non-college
38,0,0,12,56000,52,52,0,0,1,1,1,20.71005917159763,Non-college
36,1,0,14,75000,45,52,0,0,1,1,1,32.05128205128205,Non-college
43,1,0,13,53898,40,52,0,0,1,1,1,25.9125,Non-college
42,0,0,16,32144,40,49,0,0,1,1,1,16.4,College
59,0,0,12,26000,55,52,0,0,1,1,1,9.090909090909092,Non-college
56,1,0,12,24787,40,52,0,0,1,5,1,11.916826923076924,Non-college
54,1,0,12,32000,40,52,0,0,1,1,1,15.384615384615385,Non-college
59,0,0,12,20000,40,52,0,0,1,1,1,9.615384615384615,Non-college
61,1,0,13,15000,40,52,0,0,1,1,1,7.211538461538462,Non-college
47,0,0,12,30000,44,52,0,0,1,1,7,13.111888111888112,Non-college
50,1,0,12,29000,72,52,0,0,1,1,1,7.745726495726496,Non-college
67,1,0,13,30000,40,52,0,0,1,1,4,14.423076923076923,Non-college
32,1,0,16,36000,38,52,0,0,1,4,1,18.218623481781375,College
37,0,0,16,35000,40,52,0,0,1,1,1,16.826923076923077,College
48,0,0,16,120000,60,52,0,0,1,1,1,38.46153846153846,College
34,1,0,14,30000,40,52,0,0,1,1,5,14.423076923076923,Non-college
46,1,0,12,25000,42,52,0,0,1,1,5,11.446886446886447,Non-college
61,1,0,13,19000,40,52,0,0,1,1,1,9.134615384615385,Non-college
65,0,0,12,70000,56,52,0,0,1,1,1,24.03846153846154,Non-college
36,0,0,13,53000,60,52,0,0,1,1,7,16.987179487179485,Non-college
40,0,0,14,54000,45,52,0,0,1,1,5,23.076923076923077,Non-college
40,1,0,14,26000,40,52,0,0,1,1,5,12.5,Non-college
44,0,0,16,67000,50,52,0,0,1,1,1,25.76923076923077,College
62,0,0,14,62402,40,52,0,0,1,1,1,30.00096153846154,Non-college
44,0,0,12,90000,60,52,0,0,1,1,1,28.846153846153847,Non-college
48,1,0,14,20000,40,52,0,0,1,1,1,9.615384615384615,Non-college
45,0,0,12,48500,50,52,0,0,1,1,7,18.653846153846153,Non-college
27,1,0,16,20484,45,52,0,0,1,1,7,8.753846153846155,College
53,0,0,12,23000,60,48,0,0,1,1,5,7.986111111111111,Non-college
23,1,0,13,20134,40,52,0,0,1,1,6,9.679807692307692,Non-college
